Mortal	Immortal	Protein	nPeptide	log2FC	log2FC_SE	FDR	log_oddsDE
JFCF_6	JFCF_6_T_1_C	sp|P50395|GDIB_HUMAN	10	1.33022	0.655125	1.63962e-05	9.0199
JFCF_6	JFCF_6_T_1_C	sp|P50416|CPT1A_HUMAN	2	0.50891	0.083039	0.604267	-3.66492
JFCF_6	JFCF_6_T_1_C	sp|P50454|SERPH_HUMAN	16	2.00335	1.31941	1.28875e-05	9.4808
JFCF_6	JFCF_6_T_1_C	sp|P50502|F10A1_HUMAN	2	-0.704194	0.206724	0.49387	-2.68782
JFCF_6	JFCF_6_T_1_C	sp|P50552|VASP_HUMAN	6	0.721421	0.349435	0.0511102	1.09891
JFCF_6	JFCF_6_T_1_C	sp|P50570|DYN2_HUMAN	3	-0.343671	0.33503	0.677178	-4.42126
JFCF_6	JFCF_6_T_1_C	sp|P50990|TCPQ_HUMAN	3	0.832662	0.401504	0.297218	-1.35169
JFCF_6	JFCF_6_T_1_C	sp|P50991|TCPD_HUMAN	5	-0.133005	0.399454	0.775456	-5.42155
JFCF_6	JFCF_6_T_1_C	sp|P51148|RAB5C_HUMAN	2	0.321811	0.498119	0.715219	-4.75795
JFCF_6	JFCF_6_T_1_C	sp|P51149|RAB7A_HUMAN	7	0.517708	0.243738	0.0180096	2.0475
JFCF_6	JFCF_6_T_1_C	sp|P51571|SSRD_HUMAN	4	0.727266	0.974094	0.654639	-4.20869
JFCF_6	JFCF_6_T_1_C	sp|P51572|BAP31_HUMAN	3	1.12319	0.435664	0.0307424	1.62229
JFCF_6	JFCF_6_T_1_C	sp|P51659|DHB4_HUMAN	8	0.436781	0.502583	0.553782	-3.25096
JFCF_6	JFCF_6_T_1_C	sp|P51665|PSMD7_HUMAN	2	0.65189	0.422345	0.55218	-3.23467
JFCF_6	JFCF_6_T_1_C	sp|P51858|HDGF_HUMAN	4	0.148931	0.35717	0.77031	-5.29893
JFCF_6	JFCF_6_T_1_C	sp|P51911|CNN1_HUMAN	4	0.377081	0.137641	0.600415	-3.63724
JFCF_6	JFCF_6_T_1_C	sp|P51970|NDUA8_HUMAN	2	0.712722	0.194367	0.423462	-2.21528
JFCF_6	JFCF_6_T_1_C	sp|P51991|ROA3_HUMAN	2	0.372312	0.230129	0.660439	-4.25753
JFCF_6	JFCF_6_T_1_C	sp|P52209|6PGD_HUMAN	3	1.18822	0.489107	0.0287488	1.64161
JFCF_6	JFCF_6_T_1_C	sp|P52272|HNRPM_HUMAN	13	-0.555655	0.755044	0.471098	-2.52986
JFCF_6	JFCF_6_T_1_C	sp|P52292|IMA1_HUMAN	2	-1.35569	0.837833	0.445273	-2.38698
JFCF_6	JFCF_6_T_1_C	sp|P52434|RPAB3_HUMAN	1	0.0483814	0.389887	0.742582	-4.98254
